X	Y	Elev	G	FA	Boug
242896	9939158	0.00	978002.9606	-30.048724836	-29.5594254817
244010	9939159	0.00	978002.9805	-30.0288137964	-29.5504916491
245123	9939159	0.00	978003.5339	-29.4754710973	-29.0324818802
246237	9939159	0.00	978004.6176	-28.3917205676	-28.0066942364
247350	9939160	0.00	978006.1823	-26.8270702733	-26.5174034956
248464	9939160	0.00	978008.1337	-24.8756473368	-24.650548965
249578	9939161	0.00	978010.3396	-22.6697196666	-22.5282298115
250691	9939161	0.00	978012.6402	-20.3691234285	-20.2994018789
251805	9939162	0.00	978014.8618	-18.1475677968	-18.127582191
252918	9939162	0.00	978016.8322	-16.1771413655	-16.1767018299
254032	9939162	0.00	978018.3968	-14.6125575666	-14.5964668242
255145	9939163	0.00	978019.4326	-13.5767251042	-13.5086648315
256259	9939163	0.00	978019.8602	-13.1491080584	-12.9957828739
257372	9939164	0.00	978019.6513	-13.358062146	-13.0930848981
258486	9939164	0.00	978018.8314	-14.1779293786	-13.7849600231
259599	9939164	0.00	978017.4781	-15.531187436	-15.0059288267
260713	9939165	0.00	978015.7139	-17.295435595	-16.6462309779
261826	9939165	0.00	978013.6948	-19.3145115558	-18.561462225
262940	9939166	0.00	978011.5967	-21.4126249789	-20.5853301456
264053	9939166	0.00	978009.5992	-23.4101063864	-22.5442975533
265167	9939166	0.00	978007.8701	-25.1392328101	-24.2727103505
266280	9939167	0.00	978006.5507	-26.4586156778	-25.6269790175
267394	9939167	0.00	978005.7445	-27.2648156777	-26.4975001846
268507	9939168	0.00	978005.5092	-27.5001606026	-26.8172517275
269620	9939168	0.00	978005.8532	-27.1561487418	-26.5663429577
270734	9939168	0.00	978006.7371	-26.2722761782	-25.7722121415
271847	9939169	0.00	978008.0788	-24.9305815576	-24.5055926023
272961	9939169	0.00	978009.7627	-23.2466085553	-22.8727713273
274074	9939170	0.00	978011.6515	-21.357803702	-21.0049998684
275187	9939170	0.00	978013.5988	-19.4105661114	-19.0461545384
276301	9939170	0.00	978015.4621	-17.5472310053	-17.1398612343
277414	9939171	0.00	978017.1151	-15.8942009683	-15.4172928795
278528	9939171	0.00	978018.4571	-14.5522522466	-13.9867212089
279641	9939171	0.00	978019.4196	-13.5897648626	-12.925678364
280754	9939172	0.00	978019.9700	-13.0392899495	-12.2762860334
281868	9939172	0.00	978020.1118	-12.8975145133	-12.0439751123
282981	9939173	0.00	978019.8810	-13.1283512209	-12.199483451
284094	9939173	0.00	978019.3407	-13.6686022417	-12.6837174205
285208	9939173	0.00	978018.5739	-14.435446735	-13.4148232437
286321	9939174	0.00	978017.6744	-15.3348958385	-14.2966563262
287434	9939174	0.00	978016.7390	-16.2703500092	-15.227771126
288548	9939174	0.00	978015.8589	-17.1504734638	-16.1100798995
289661	9939175	0.00	978015.1136	-17.8957521676	-16.8564358031
290774	9939175	0.00	978014.5660	-18.4433018488	-17.3965663737
291888	9939175	0.00	978014.2596	-18.7497141228	-17.6809942206
293001	9939176	0.00	978014.2174	-18.7919455298	-17.6828074623
294114	9939176	0.00	978014.4429	-18.5664429116	-17.39735845
295228	9939176	0.00	978014.9225	-18.0868416821	-16.8401544265
296341	9939177	0.00	978015.6287	-17.380661026	-16.0433422545
297454	9939177	0.00	978016.5239	-16.4854495289	-15.0512720914
298567	9939177	0.00	978017.5645	-15.4448110253	-13.9156498246
299681	9939178	0.00	978018.7047	-14.3046742437	-12.6907595722
300794	9939178	0.00	978019.8993	-13.1100755951	-11.429165282
301907	9939178	0.00	978021.1067	-11.9026181256	-10.1781976473
303020	9939179	0.00	978022.2907	-10.7186664678	-8.9774140847
304134	9939179	0.00	978023.4211	-9.5882500473	-7.8570999811
305247	9939179	0.00	978024.4748	-8.5345832201	-6.8377715099
306360	9939180	0.00	978025.4353	-7.5740752006	-5.9305535892
307473	9939180	0.00	978026.2926	-6.7166936207	-5.1382467667
308586	9939180	0.00	978027.0428	-5.9665585782	-4.4568657736
309700	9939181	0.00	978027.6867	-5.3226716471	-3.8774285029
310813	9939181	0.00	978028.2296	-4.7797179349	-3.3877927217
311926	9939181	0.00	978028.6804	-4.3289107428	-2.9743727106
313039	9939182	0.00	978029.0505	-3.9588712061	-2.6236122879
314152	9939182	0.00	978029.3528	-3.6565456421	-2.3231377223
315266	9939182	0.00	978029.6012	-3.4081604531	-2.0625583123
316379	9939183	0.00	978029.8091	-3.2002004088	-1.8339199528
317492	9939183	0.00	978029.9890	-3.0203755264	-1.6318455771
318605	9939183	0.00	978030.1508	-2.8585202312	-1.4534153511
319718	9939183	0.00	978030.3020	-2.7073522109	-1.2978495882
320831	9939184	0.00	978030.4463	-2.5630121856	-1.1660600596
321944	9939184	0.00	978030.5840	-2.4253130427	-1.0601325596
323058	9939184	0.00	978030.7117	-2.2976478959	-0.9827970318
324171	9939185	0.00	978030.8228	-2.1865397734	-0.9369326968
325284	9939185	0.00	978030.9085	-2.1008562952	-0.9251453797
326397	9939185	0.00	978030.9586	-2.0507550063	-0.949443108
327510	9939186	0.00	978030.9629	-2.0464622045	-1.0110242463
328623	9939186	0.00	978030.9123	-2.097013993	-1.1101801083
329736	9939186	0.00	978030.8002	-2.2090981286	-1.2463014925
330849	9939186	0.00	978030.6232	-2.3861266563	-1.417966606
331962	9939187	0.00	978030.3817	-2.6276426894	-1.6230774885
333076	9939187	0.00	978030.0802	-2.9291232366	-1.8590047115
221736	9938043	0.00	978017.0799	-15.9468997973	-15.7424365629
222850	9938044	0.00	978016.7013	-16.3255156981	-16.0371506862
223964	9938044	0.00	978016.3254	-16.7013672634	-16.3394919841
225078	9938045	0.00	978015.9784	-17.0484127693	-16.6322091787
226191	9938045	0.00	978015.6699	-17.3569407389	-16.9114134829
227305	9938046	0.00	978015.3913	-17.6354686319	-17.1877499682
228419	9938046	0.00	978015.1170	-17.9097997631	-17.4852612202
229533	9938047	0.00	978014.8075	-18.2192737817	-17.8379947725
230646	9938047	0.00	978014.4162	-18.6106198528	-18.2847038274
231760	9938047	0.00	978013.8966	-19.1301542973	-18.8622568727
232874	9938048	0.00	978013.2115	-19.8153126991	-19.5985716692
233987	9938048	0.00	978012.3402	-20.6866368069	-20.5059954422
235101	9938049	0.00	978011.2855	-21.7413293168	-21.5760492914
236215	9938049	0.00	978010.0775	-22.9493419033	-22.7763370959
237328	9938050	0.00	978008.7741	-24.2526880903	-24.0501975721
238442	9938050	0.00	978007.4585	-25.5683028659	-25.3193755894
239556	9938051	0.00	978006.2324	-26.7943480509	-26.4896387842
240669	9938051	0.00	978005.2074	-27.8194362556	-27.4589080981
241783	9938052	0.00	978004.4929	-28.5338682714	-28.1271482964
242896	9938052	0.00	978004.1851	-28.8416956241	-28.4070161025
